Wall time,Step,Value
1775909476.8166928,800,-116.46124267578125
1775909477.222239,1410,-110.88723754882812
1775909477.614238,2020,-107.27194213867188
1775909477.9770179,2630,-107.39714050292969
1775909478.3794932,3240,-105.43911743164062
1775909478.8316529,3850,-103.76918029785156
1775909479.2354023,4460,-101.7601318359375
1775909479.6297011,5070,-100.54063415527344
1775909480.0547283,5680,-99.77775573730469
1775909480.4646406,6290,-95.76497650146484
1775909480.892832,6900,-96.39653015136719
1775909481.3852272,7510,-90.78070068359375
1775909481.829542,8120,-89.47984313964844
1775909482.2835896,8730,-92.50899505615234
1775909482.708333,9340,-89.73251342773438
1775909483.0976393,9950,-90.5897445678711
1775909483.5142195,10560,-88.29393005371094
1775909483.9388142,11170,-83.33203125
1775909484.334482,11780,-83.66673278808594
1775909484.7840965,12390,-83.7890396118164
1775909485.2081985,13000,-77.46805572509766
1775909485.652246,13610,-82.20555114746094
1775909486.0645094,14220,-80.26841735839844
1775909486.4635742,14830,-78.34890747070312
1775909486.8604352,15440,-76.96809387207031
1775909487.2540412,16050,-73.66506958007812
1775909487.63074,16660,-64.9801025390625
1775909488.032733,17270,-81.69987487792969
1775909488.414207,17880,-64.11397552490234
1775909488.8130927,18490,-65.06924438476562
1775909489.2726264,19100,-71.40186309814453
1775909489.7063973,19710,-64.98806762695312
1775909490.104395,20320,-55.895957946777344
1775909490.4993656,20930,-63.10441589355469
1775909490.905203,21540,-63.50962829589844
1775909491.3419757,22150,-62.43956756591797
1775909491.7793818,22760,-55.000572204589844
1775909492.1602428,23370,-57.48429870605469
1775909492.607519,23980,-56.631507873535156
1775909493.0196362,24590,-54.55417251586914
1775909493.3924503,25200,-65.77500915527344
1775909493.7967577,25810,-50.151493072509766
1775909494.2026303,26420,-58.870849609375
1775909494.6198435,27030,-55.996673583984375
1775909495.0364387,27640,-53.14389419555664
1775909495.446027,28250,-54.44544982910156
1775909495.834374,28860,-53.042198181152344
1775909496.2478611,29470,-55.0322265625
1775909496.696837,30080,-48.564064025878906
1775909497.1132023,30690,-45.277313232421875
1775909497.5225961,31300,-37.00884246826172
1775909497.9274282,31910,-42.51953125
1775909498.3590086,32520,-42.144004821777344
1775909498.7742138,33130,-42.89278030395508
1775909499.1879413,33740,-42.072723388671875
1775909499.5987349,34350,-41.44995880126953
1775909500.0007172,34960,-38.17097473144531
1775909500.4100769,35570,-40.523475646972656
1775909500.8294332,36180,-37.03176498413086
1775909501.2597518,36790,-40.821380615234375
1775909501.6906915,37400,-34.035118103027344
1775909502.1106968,38010,-34.84980010986328
1775909502.507159,38620,-31.340038299560547
1775909502.9377017,39230,-34.11625671386719
1775909503.363127,39840,-29.06623077392578
1775909503.774577,40450,-33.14086151123047
1775909504.18852,41060,-26.878618240356445
1775909504.6816523,41670,-36.82481002807617
1775909505.1695404,42280,-31.07174301147461
1775909505.656755,42890,-28.175052642822266
1775909506.1992707,43500,-26.242069244384766
1775909506.7270563,44110,-26.35373306274414
1775909507.2547245,44720,-26.537830352783203
1775909507.794838,45330,-29.543354034423828
1775909508.3434908,45940,-25.9390869140625
1775909508.847073,46550,-24.473222732543945
1775909509.3233051,47160,-22.220317840576172
1775909509.8491514,47770,-24.60793113708496
1775909510.3168254,48380,-22.779375076293945
1775909510.8148584,48990,-26.304155349731445
1775909511.3318195,49600,-21.656612396240234
1775909511.7814488,50210,-20.238048553466797
1775909512.189215,50820,-21.027740478515625
1775909512.5966032,51430,-21.599830627441406
1775909512.9729433,52040,-19.715532302856445
1775909513.3709047,52650,-18.404705047607422
1775909513.9158971,53260,-19.261672973632812
1775909514.342456,53870,-16.864166259765625
1775909514.8301108,54480,-17.365650177001953
1775909515.3144982,55090,-13.192614555358887
1775909515.805299,55700,-14.857614517211914
